LOCATION,HWF_0010,HWF_0010-footnote,HWF_0010-footnote-short,HWF_0006,HWF_0006-footnote,HWF_0006-footnote-short,HWF_0001,HWF_0001-footnote,HWF_0001-footnote-short,MDG_0000000003_15_19,MDG_0000000003_15_19-footnote,MDG_0000000003_15_19-footnote-short,SDGSUICIDE,SDGSUICIDE-footnote,SDGSUICIDE-footnote-short,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP-footnote,FINPROTECTION_CATA_TOT_10_POP-footnote-short,FINPROTECTION_CATA_TOT_25_POP,FINPROTECTION_CATA_TOT_25_POP-footnote,FINPROTECTION_CATA_TOT_25_POP-footnote-short,MDG_0000000003_10_14,MDG_0000000003_10_14-footnote,MDG_0000000003_10_14-footnote-short,SDGFPALL,SDGFPALL-footnote,SDGFPALL-footnote-short,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV-footnote,SDGHEPHBSAGPRV-footnote-short,SDGPOISON,SDGPOISON-footnote,SDGPOISON-footnote-short,WHOSIS_000002_BTSX,WHOSIS_000002_BTSX-footnote,WHOSIS_000002_BTSX-footnote-short,WHOSIS_000002_FMLE,WHOSIS_000002_FMLE-footnote,WHOSIS_000002_FMLE-footnote-short,WHOSIS_000002_MLE,WHOSIS_000002_MLE-footnote,WHOSIS_000002_MLE-footnote-short,HWF_0014,HWF_0014-footnote,HWF_0014-footnote-short,M_Est_tob_curr_std,M_Est_tob_curr_std-footnote,M_Est_tob_curr_std-footnote-short,MDG_0000000025,MDG_0000000025-footnote,MDG_0000000025-footnote-short,WHS4_100,WHS4_100-footnote,WHS4_100-footnote-short,MDG_0000000020,MDG_0000000020-footnote,MDG_0000000020-footnote-short,SDGWSHBOD,SDGWSHBOD-footnote,SDGWSHBOD-footnote-short,SDGHIV,SDGHIV-footnote,SDGHIV-footnote-short,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE-footnote,MALARIA_EST_INCIDENCE-footnote-short,NCDMORT3070,NCDMORT3070-footnote,NCDMORT3070-footnote-short,SA_0000001688,SA_0000001688-footnote,SA_0000001688-footnote-short,MDG_0000000007,MDG_0000000007-footnote,MDG_0000000007-footnote-short,MCV2,MCV2-footnote,MCV2-footnote-short,SDGAIRBODA,SDGAIRBODA-footnote,SDGAIRBODA-footnote-short,WHOSIS_000003,WHOSIS_000003-footnote,WHOSIS_000003-footnote-short,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED-footnote,UHC_INDEX_REPORTED-footnote-short,SDGIHR2021,SDGIHR2021-footnote,SDGIHR2021-footnote-short,PCV3,PCV3-footnote,PCV3-footnote-short,MDG_0000000026,MDG_0000000026-footnote,MDG_0000000026-footnote-short,RS_198,RS_198-footnote,RS_198-footnote-short,SDGNTDTREATMENT,SDGNTDTREATMENT-footnote,SDGNTDTREATMENT-footnote-short,WHOSIS_000001_BTSX,WHOSIS_000001_BTSX-footnote,WHOSIS_000001_BTSX-footnote-short,WHOSIS_000001_FMLE,WHOSIS_000001_FMLE-footnote,WHOSIS_000001_FMLE-footnote-short,WHOSIS_000001_MLE,WHOSIS_000001_MLE-footnote,WHOSIS_000001_MLE-footnote-short,SDGODA01,SDGODA01-footnote,SDGODA01-footnote-short,SDGHPVRECEIVED,SDGHPVRECEIVED-footnote,SDGHPVRECEIVED-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote-short,AMR_INFECT_MRSA,AMR_INFECT_MRSA-footnote,AMR_INFECT_MRSA-footnote-short,AMR_INFECT_ECOLI,AMR_INFECT_ECOLI-footnote,AMR_INFECT_ECOLI-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_DRUGS,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote-short,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEALTHFACILITIESESSENTIALMEDS-footnote,SDGHEALTHFACILITIESESSENTIALMEDS-footnote-short
Azerbaijan,3.38,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,55.78,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,31.85,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,37.3,Registration National Statistics & WPP2024,,1.6,,,,,,,,,0,Registration National Statistics & WPP2024,,,,,0.1,,,0.4,,,64.0,,,65.0,,,63.0,,,0.62,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,19.6,The most recent survey was conducted in 2020. This is a projection.,,100,"Doctors, nurses, midwives, etc. Statistical Yearbook 2023. Women and Men in Azerbaijan. Baku: State Statistical Committee of the Republic of Azerbaijan; 2024.",,83,,,72,,,3.6,,,<0.1,,,,,,17.4,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,2.3,,,18.6,,,93,,,122,,,12.8,,,66,,,67,,,82,,,18,,,17.2,,,0,Aggregation across diseases,,72.9,,,75.2,,,70.5,,,0.44,,,,,,,,,,,,,,,,,,,,
Bahamas,2.54,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,42.24,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,18.95,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,3.3,,,,,,,,,,,,,,,0.2,,,0.2,,,61.5,,,63.2,,,59.8,,,,,,11.3,The most recent survey was conducted in 2019. This is a projection.,,99,"Trained personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 20 Septemner 2023). ",,87,,,7.8,,,2.6,,,0.16,,,,,,20.4,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,6.9,,,12.7,,,53,,,10,,,9.2,,,77,,,60,,,81,,,76,,,16.2,,,243,Aggregation across diseases,,70.4,,,73.5,,,67.3,,,,,,9,,,,,,,,,,,,,,,,,
Bahrain,0.8,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,26.48,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.41,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.2,Registration National Statistics,,4.7,,,4.88,,,1.4,,,,,,,,,0.0,,,0.2,,,64.2,,,63.0,,,64.8,,,1.65,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,15.0,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017-19. This is a projection.,,98, Health Statistics of 2020. Bahrain: Ministry of Health; 2021.,,99,,,12,,,0.8,,,No data,,,,,,14.8,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,1.7,,,8.6,,,99,,,68,,,4.4,,,76,,,92,,,98,,,17,,,8.1,,,0,Aggregation across diseases,,74.4,,,75.1,,,73.8,,,,,,,,,,,,42.1,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,63,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Bangladesh,0.76,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.64,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.22,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,71.2,Registration National Statistics & WPP2024,,2.8,,,24.42,,,8.45,,,0,Registration National Statistics & WPP2024,,73.9,2022.    Bangladesh 2022 Demographic and Health Survey,,0.5,,,0.1,,,63.1,,,63.0,,,63.1,,,1.1,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,32.9,The most recent survey was conducted in 2018. This is a projection.,,70," Sample Vital Registration System (SVRS) in Digital Platform Project, Bangladesh Bureau of Statistics (BBS). Bangladesh Sample Vital Statistics 2023.",,98,,,221,,,18.2,,,<0.01,,,1.10,,,18.1,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.0,,,30.6,,,93,,,144,,,17.9,,,52,,,69,,,99,,,115,,,18.6,,,57 177 911,Aggregation across diseases,,73.1,,,74.6,,,71.6,,,1.76,,,21,,,,,,88.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,90,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Barbados,3.14,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.66,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,29.58,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,3.5,,,16.37,,,3.82,,,,,,,,,0.2,,,0.1,,,66.7,,,67.1,,,66.2,,,11.41,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.0,The most recent survey was conducted in 2011-12. This is a projection.,,98,"Trained personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021). ",,85,,,0.81,,,7.7,,,0.14,,,,,,14.0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,9.5,,,10.0,,,76,,,19,,,6.9,,,77,,,67,,,86,,,35,,,10.0,,,771,Aggregation across diseases,,76.8,,,78.4,,,75.1,,,0,,,50,,,0.3,,,,,,,,,,,,,,
Belarus,6.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,108.15,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,47.17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.6,Registration Eurostat,,15.6,,,16.54,,,1.16,,,0.0,Registration Eurostat,,66,2019.    Belarus 2019 Multiple Indicator Cluster Survey,,0.3,,,1.6,,,63.7,,,66.8,,,60.5,,,4.5,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,30.1,,,100,"Qualified medical personnel National platform for reporting indicators of Sustainable Development Goals. http://sdgplatform.belstat.gov.by/datasets/3.1.2, last accessed 6/12/2023",,98,,,27,,,1.6,,,<0.1,,,,,,23.8,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,11.4,,,2.4,,,95,,,70,,,0.8,,,79,,,96,,,,,,1,,,7.4,,,0,Aggregation across diseases,,73.1,,,78.1,,,68.1,,,0.67,,,,,,,,,,,,,,,10.0,,,,,
Belgium,11.92,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,128.85,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,65.25,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,4.3,Registration Eurostat,,18.4,,,,,,,,,0,Registration Eurostat,,,,,0.1,,,0.4,,,69.8,,,70.3,,,69.3,,,21.18,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,26.7,The most recent survey was conducted in 2021. This is a projection.,,,,,98,,,7.5,,,5.3,,,No data,,,,,,9.2,,,8.7,,,3.6,,,82,,,15,,,2.1,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,76,,,94,,,4,,,4.6,,,61,Aggregation across diseases,,81.5,,,83.7,,,79.3,,,,,,72,,,1.2,,,4.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,8.9,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,7.8,,,,,
Belize,1.71,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,20.6,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,10.86,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,52.1,Registration National Statistics & WPP2024,,4.2,,,6.2,,,3.1,,,1.4,Registration National Statistics & WPP2024,,64.9,2015-2016.    Belize 2015-2016 Multiple Indicator Cluster Survey,,0.6,,,0.2,,,63.8,,,64.7,,,63.0,,,7.7,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.8,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2015. This is a projection.,,95,"Trained personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021). ",,85,,,27,,,4.3,,,0.39,,,0,,,15.4,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,5.1,,,12.7,,,88,,,40,,,9.3,,,68,,,55,,,,,,67,,,17.5,,,1689,Aggregation across diseases,,73.3,,,75.4,,,71.4,,,4.02,,,41,,,,,,,,,,,,,,,,,
Benin,0.05,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.16,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,77.2,Benin 2021 Multiple Indicator Cluster Survey,,7.1,,,14.29,,,2.95,,,0.8,Benin 2021 Multiple Indicator Cluster Survey,,36.8,2021-2022.    Benin 2021-2022 Multiple Indicator Cluster Survey,,2.9,,,1.1,,,55.7,,,56.6,,,54.9,,,0.31,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.3,The most recent survey was conducted in 2017-18. This is a projection.,,81," Institut National de la Statistique et de la Démographie (INStaD). 2023. Enquête par Grappes à Indicateurs Multiples, Bénin, 2021-2022, Rapport des résultats de l’enquête. Cotonou, Bénin : INStaD.",,69,,,51,,,60.2,,,<0.1,,,363.40,,,20.8,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,7.0,,,77.9,,,,,,207,,,28.0,,,38,,,42,,,69,,,518,,,24.8,,,6 385 123,Aggregation across diseases,,64.0,,,66.4,,,61.7,,,5.44,,,,,,,,,52.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,73.1,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Bhutan,0.97,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,20.52,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.53,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.1,Registration National Statistics & WPP2024,,4.9,,,3.98,,,1.77,,,0,Registration National Statistics & WPP2024,,,,,0.1,,,0.1,,,64.8,,,64.6,,,65.0,,,0.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,18.7,The most recent survey was conducted in 2019. This is a projection.,,99,"Skilled provider includes Medical Doctors and midwifes (Nurses, and Health Assistants). Ministry of Health, Royal Government of Bhutan. 5th National Health Survey: Integrated Stepwise Household Survey 2023. Thimphu, Bhutan: Ministry of Health; 2024.",,99,,,164,,,15.7,,,<0.1,,,0,,,15.9,,,4.4,,,23.1,,,97,,,88,,,12.7,,,60,,,64,,,99,,,47,,,12.2,,,173 578,Aggregation across diseases,,74.9,,,75.9,,,73.9,,,5.66,,,87,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),2.29,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,16.24,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,12.84,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,71.0,Bolivia 2016 Demographic and Health Survey,,4.2,,,5.69,,,1.19,,,,,,50.3,2016.    Bolivia 2016 Demographic and Health Survey,,0.1,,,0.4,,,57.4,,,58.8,,,56.3,,,2.41,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,12.4,The most recent survey was conducted in 2019. This is a projection.,,72, Registros administrativos del Sistema Nacional de Salud y Vigilancia Epidemiológica del Ministerio de Salud y Deportes - 2022,,67,,,105,,,14.3,,,0.16,,,2.51,,,19.9,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,3.6,,,23.1,,,50,,,76,,,12.2,,,65,,,46,,,68,,,146,,,17.6,,,189 894,Aggregation across diseases,,65.4,,,68.4,,,62.9,,,1.26,,,67,,,,,,,,,,,,,,,23.1,* data from only capital city ,
Bosnia and Herzegovina,2.58,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,67.27,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,25.84,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.5,Registration National Statistics & WPP2024,,9.0,,,8.18,,,1.39,,,0.1,Registration National Statistics & WPP2024,,,,,0.6,,,1.9,,,65.0,,,66.1,,,63.9,,,1.38,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.2,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2011-12. This is a projection.,,100, Statistical Yearbook Federation of Bosnia and Herzegovina 2020. Sarajevo: Institute for Statistics of Federation of Bosnia and Herzegovina; 2020.,,73,,,24,,,1.9,,,<0.1,,,,,,17.2,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,6.3,,,6.0,,,63,,,115,,,4.5,,,66,,,No data,,,,,,6,,,13.7,,,0,Aggregation across diseases,,74.8,,,77.2,,,72.6,,,7.54,,,5,,,,,,26.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,26.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Botswana,0.36,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,30.18,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,3.79,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,48.1,Registration National Statistics & WPP2024,,8.4,,,4.32,,,1.01,,,0.3,Registration National Statistics & WPP2024,,,,,0.2,,,1.1,,,53.1,,,53.9,,,52.3,,,0.53,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,18.7,The most recent survey was conducted in 2017. This is a projection.,,100, Vital Statistics Report 2021. Gaborone: Statistics Botswana (CSO); 2024.,,95,,,244,,,26.8,,,1.9,,,0.47,,,19.0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,6.0,,,39.6,,,79,,,140,,,20.9,,,55,,,45,,,81,,,155,,,16.5,,,685 567,Aggregation across diseases,,61.2,,,63.2,,,59.2,,,0.85,,,32,,,,,,,,,,,,,,,,,
Brazil,7.45,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,55.02,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,23.57,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,40.2,Registration National Statistics & WPP2024,,7.6,,,11.81,,,1.88,,,2.0,Registration National Statistics & WPP2024,,,,,0.0,,,0.1,,,61.8,,,63.4,,,60.3,,,4.14,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,12.2,The most recent survey was conducted in 2019. This is a projection.,,98," Ministério da Saúde, Sistema de Informações sobre Nascidos Vivos (SINASC); (https://odsbrasil.gov.br/objetivo3/indicador312#); 2023",,90,,,49,,,6.6,,,0.24,,,3.81,,,14.5,,,9.4,,,14.4,,,64,,,28,,,7.6,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,65,,,74,,,67,,,15.7,,,3 102 066,Aggregation across diseases,,72.4,,,75.8,,,69.0,,,0.15,,,73,,,,,,31.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,36.3,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Brunei Darussalam,2.35,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,66.17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,18.86,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.8,Registration National Statistics & WPP2024,,3.0,,,,,,,,,0.3,Registration National Statistics & WPP2024,,,,,0.1,,,0.0,,,67.1,,,67.9,,,66.3,,,2.1,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,16.4,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2016. This is a projection.,,100,Skilled health personnel Ministry of Health [Brunei Darussalam]; 2023. Country Consultation 2024,,99,,,65,,,1.7,,,No data,,,,,,14.9,,,0.7,,,9.4,,,99,,,20,,,4.9,,,78,,,71,,,,,,36,,,3.6,,,1,Aggregation across diseases,,76.9,,,78.6,,,75.3,,,,,,83,,,,,,12.2,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,15.6,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Bulgaria,11.23,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,42.04,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,43.28,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.8,Registration Eurostat,,9.5,,,21.28,,,3.07,,,1.5,Registration Eurostat,,,,,0.1,,,0.7,,,62.4,,,64.6,,,60.4,,,9.28,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,39.5,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.,,94, National Statistical Institute of Bulgaria; 2023.,,92,,,16,,,2.9,,,<0.1,,,,,,25.6,,,11.5,,,6.1,,,87,,,,,,2.6,,,73,,,74,,,87,,,6,,,8.4,,,119,Aggregation across diseases,,71.3,,,75.0,,,68.0,,,,,,6,,,,,,,,,,,,,,,,,
Burkina Faso,0.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,9.49,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.48,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,92.9,Burkina Faso 2021 Demographic and Health Survey,,8.5,,,8.37,,,1.76,,,1.2,Burkina Faso 2021 Demographic and Health Survey,,64.3,2021.    Burkina Faso 2021 Demographic and Health Survey,,1.7,,,1.6,,,54.6,,,55.6,,,53.5,,,0.39,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,14.3,The most recent survey was conducted in 2013. This is a projection.,,96,"doctors, health advisors, midwives, state midwives, nurses, health attachés, licensed birth attendants and auxiliary birth attendants INSD et ICF. Enquête Démographique et de Santé du Burkina Faso 2021. Ouagadougou, Burkina Faso et Rockville, Maryland, USA : INSD et ICF; 2023",,94,,,43,,,60.9,,,<0.1,,,353.49,,,23.4,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,7.5,,,77.3,,,71,,,207,,,24.5,,,40,,,37,,,92,,,242,,,27.8,,,3 644 443,Aggregation across diseases,,62.3,,,64.6,,,59.9,,,8.09,,,97,,,,,,30.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,91.7,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,0,* data from only capital city ,
Burundi,0.01,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.94,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,0.78,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,58.2,Burundi 2016 Demographic and Health Survey,,7.7,,,4.77,,,0.88,,,0.7,Burundi 2016 Demographic and Health Survey,,39.6,2016-2017.    Burundi 2016 Demographic and Health Survey,,1.4,,,2.3,,,55.8,,,56.9,,,54.8,,,0.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.2,The most recent survey was conducted in 2016-17. This is a projection.,,75, Annuaire des Statistisques Sanitaires 2022,,89,,,94,,,53.3,,,0.12,,,245.06,,,24.8,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,4.5,,,49.2,,,80,,,209,,,19.6,,,41,,,35,,,88,,,392,,,12.3,,,3 205 933,Aggregation across diseases,,64.0,,,65.9,,,62.0,,,6.45,,,,,,,,,,,,,,,,,,0,* data from only capital city ,
